timestamp,X,Y,Z
1764067566654,-0.002062,-0.000825,-0.000137
1764067566664,0.003987,0.002887,0.001100
1764067566673,0.000412,0.000412,-0.000137
1764067566683,-0.000825,0.000412,0.001100
1764067566692,-0.000825,0.001650,0.001100
1764067566702,-0.000825,-0.000825,0.001100
1764067566712,0.000412,0.000412,0.001100
1764067566721,-0.000825,0.001650,0.001100
1764067566731,-0.002062,0.000412,0.001100
1764067566740,-0.002062,0.000412,-0.000137
1764067566750,-0.003300,-0.002062,0.001100
1764067566759,-0.002062,-0.000825,0.001100
1764067566769,-0.002062,-0.000825,0.001100
1764067566778,-0.000825,-0.000825,0.001100
1764067566788,-0.000825,0.000412,0.001100
1764067566797,-0.002062,-0.000825,0.001100
1764067566807,-0.002062,-0.002062,-0.000137
1764067566816,-0.002062,-0.003300,0.001100
1764067566826,-0.002062,-0.003300,-0.000137
1764067566835,0.000412,-0.004537,-0.000137
1764067566845,-0.000825,-0.000825,-0.000137
1764067566854,-0.000825,0.000412,-0.000137
1764067566864,0.000412,0.000412,-0.000137
1764067566873,-0.000825,0.001650,-0.000137
1764067566883,-0.000825,-0.002062,0.001100
1764067566892,-0.003300,0.000412,0.001100
1764067566902,0.001512,0.001650,-0.001375
1764067566911,0.001512,0.002887,-0.000137
1764067566921,0.000412,0.001650,0.001100
1764067566930,-0.002062,-0.000825,0.001100
1764067566940,-0.000825,0.000412,0.001100
1764067566949,-0.000825,-0.000825,0.001100
1764067566959,-0.002062,-0.002062,0.001100
1764067566968,-0.000825,-0.000825,0.001100
1764067566978,-0.000825,0.000412,-0.001375
1764067566987,-0.002062,0.000412,-0.000137
1764067566997,-0.002062,-0.000825,0.001100
1764067567006,-0.002062,0.000412,0.001100
1764067567016,-0.002062,0.000412,-0.000137
1764067567025,-0.000825,0.000412,0.002337
1764067567035,-0.000825,-0.000825,-0.000137
1764067567044,-0.000825,0.000412,0.001100
1764067567054,-0.000825,0.000412,-0.001375
1764067567063,-0.002062,0.000412,-0.000137
1764067567073,-0.002062,-0.000825,-0.000137
1764067567082,-0.000825,0.000412,-0.000137
1764067567092,-0.000825,0.000412,-0.000137
1764067567101,0.000412,-0.000825,0.001100
1764067567111,-0.000825,0.000412,0.001100
1764067567120,-0.000825,-0.000825,0.001100
1764067567130,-0.002062,0.000412,-0.000137
1764067567139,0.000412,0.000412,0.001100
1764067567149,0.001512,0.001650,0.001100
1764067567158,0.000412,0.000412,0.001100
1764067567168,0.000412,-0.000825,-0.000137
1764067567177,-0.000825,-0.000825,0.001100
1764067567187,0.000412,-0.000825,0.001100
1764067567196,0.000412,-0.000825,0.001100
1764067567206,0.000412,0.000412,0.001100
1764067567215,-0.000825,0.001650,-0.000137
1764067567225,-0.000825,-0.000825,0.001100
1764067567235,-0.000825,0.000412,0.001100
1764067567244,-0.000825,0.000412,-0.000137
1764067567254,0.000412,-0.000825,-0.000137
1764067567263,0.000412,-0.000825,0.002337
1764067567273,0.000412,-0.000825,-0.000137
1764067567282,0.001512,-0.000825,0.001100
1764067567292,0.000412,-0.000825,0.001100
1764067567301,0.000412,0.000412,-0.000137
1764067567311,-0.002062,0.000412,0.001100
1764067567320,-0.000825,0.001650,-0.000137
1764067567330,-0.000825,0.000412,0.001100
1764067567339,-0.000825,0.000412,0.001100
1764067567349,0.001512,-0.002062,0.001100
1764067567358,0.000412,0.000412,0.001100
1764067567368,0.000412,0.000412,0.001100
1764067567377,0.000412,0.000412,0.001100
1764067567387,0.000412,0.000412,0.001100
1764067567396,-0.000825,0.000412,0.001100
1764067567406,-0.000825,0.000412,-0.000137
1764067567415,0.000412,0.000412,-0.000137
1764067567425,0.000412,0.000412,-0.000137
1764067567434,-0.000825,0.000412,-0.000137
1764067567444,0.000412,0.000412,0.001100
1764067567453,-0.000825,-0.000825,0.001100
1764067567463,0.000412,0.000412,0.001100
1764067567472,-0.000825,-0.000825,0.001100
1764067567482,-0.000825,0.000412,0.001100
1764067567491,-0.000825,0.000412,0.001100
1764067567501,-0.000825,0.000412,0.001100
1764067567510,0.000412,-0.000825,0.001100
1764067567520,0.000412,-0.000825,-0.000137
1764067567529,0.000412,0.000412,0.001100
1764067567539,-0.000825,0.000412,0.001100
1764067567548,0.000412,-0.000825,0.001100
1764067567558,0.000412,-0.002062,0.001100
1764067567567,-0.000825,-0.002062,-0.000137
1764067567577,-0.000825,-0.002062,0.002337
1764067567586,0.000412,-0.003300,0.001100
1764067567596,-0.000825,-0.002062,0.001100
1764067567605,0.001512,-0.000825,-0.000137
1764067567615,0.000412,-0.000825,0.001100
1764067567624,0.001512,0.000412,0.002337
1764067567634,0.000412,0.001650,-0.000137
1764067567643,-0.000825,0.001650,-0.000137
1764067567653,0.000412,0.002887,-0.000137
1764067567662,-0.019250,0.000412,0.002337
1764067567672,0.006462,0.002887,0.001100
1764067567681,0.005225,0.001650,-0.000137
1764067567691,0.002750,0.001650,-0.000137
1764067567700,0.001512,0.000412,0.001100
1764067567710,-0.002062,-0.000825,0.001100
1764067567719,-0.004537,-0.000825,0.001100
1764067567729,-0.007012,0.000412,-0.000137
1764067567738,-0.000825,-0.000825,0.001100
1764067567748,0.008938,0.001650,0.001100
1764067567758,-0.002062,0.001650,-0.000137
1764067567767,-0.007012,0.000412,0.002337
1764067567777,-0.011825,-0.000825,0.001100
1764067567786,-0.009488,-0.000825,0.001100
1764067567796,-0.005775,-0.000825,0.001100
1764067567805,-0.003300,-0.000825,0.002337
1764067567815,0.000412,-0.000825,0.001100
1764067567824,0.001512,0.000412,0.001100
1764067567834,0.003987,0.000412,0.001100
1764067567843,0.003987,0.001650,0.001100
1764067567853,0.000412,0.001650,-0.000137
1764067567862,0.002750,0.001650,0.001100
1764067567872,-0.003300,0.000412,0.001100
1764067567881,-0.000825,0.000412,0.001100
1764067567891,0.001512,0.000412,-0.000137
1764067567900,0.003987,0.000412,-0.000137
1764067567910,0.003987,0.001650,-0.000137
1764067567919,0.001512,-0.000825,-0.000137
1764067567929,0.000412,-0.002062,0.001100
1764067567938,0.000412,-0.002062,0.001100
1764067567948,0.001512,-0.003300,-0.000137
1764067567957,0.003987,-0.003300,-0.000137
1764067567967,0.005225,0.000412,-0.000137
1764067567976,0.006462,-0.011825,0.001100
1764067567986,0.005225,-0.000825,0.007150
1764067567995,-0.011825,-0.003300,0.056100
1764067568005,-0.011825,-0.002062,0.090200
1764067568014,-0.005775,0.007700,0.145200
1764067568024,0.001512,0.016362,0.152488
1764067568033,0.002750,0.001650,0.037675
1764067568043,-0.005775,-0.020350,0.002337
1764067568052,0.002750,0.006462,-0.009900
1764067568062,-0.000825,-0.000825,-0.017325
1764067568071,0.003987,-0.009350,-0.018425
1764067568081,-0.000825,-0.004537,-0.024612
1764067568090,0.002750,-0.011825,-0.016088
1764067568100,0.010175,-0.008112,0.007150
1764067568109,0.006462,0.001650,0.029150
1764067568119,0.023512,-0.014300,0.038913
1764067568128,0.012512,-0.026400,0.009625
1764067568138,0.010175,-0.030112,0.007150
1764067568147,-0.003300,-0.004537,0.004675
1764067568157,-0.020488,0.004125,-0.000137
1764067568166,-0.022825,0.011412,-0.001375
1764067568176,-0.018012,0.000412,-0.002612
1764067568185,-0.027775,0.016362,-0.001375
1764067568195,-0.009488,0.000412,0.005912
1764067568204,-0.003300,0.004125,0.007150
1764067568214,0.000412,0.000412,0.015675
1764067568223,0.014988,0.016362,0.021862
1764067568233,0.014988,0.000412,0.027912
1764067568242,0.000412,-0.005637,-0.016088
1764067568252,0.011275,0.007700,0.007150
1764067568261,0.011275,0.008938,0.002337
1764067568271,0.017462,0.030938,0.002337
1764067568280,0.012512,-0.014300,-0.008662
1764067568290,0.003987,-0.009350,-0.001375
1764067568300,0.008938,0.012650,-0.002612
1764067568309,0.012512,0.015125,0.003437
1764067568319,0.003987,0.005362,0.001100
1764067568328,0.001512,0.001650,0.004675
1764067568338,0.001512,-0.015538,0.001100
1764067568347,0.013750,0.007700,-0.000137
1764067568357,-0.003300,-0.003300,-0.003850
1764067568366,0.002750,-0.000825,-0.001375
1764067568376,-0.004537,0.010175,0.003437
1764067568385,0.001512,-0.008112,-0.000137
1764067568395,-0.010588,0.010175,-0.003850
1764067568404,-0.019250,-0.011825,-0.016088
1764067568414,-0.015538,0.011412,-0.012375
1764067568423,-0.003300,-0.000825,-0.013612
1764067568433,0.014988,0.012650,-0.012375
1764067568442,0.006462,-0.021588,-0.011138
1764067568452,0.006462,0.005362,-0.014850
1764067568461,0.011275,0.007700,-0.003850
1764067568471,-0.004537,0.012650,-0.005087
1764067568480,-0.004537,0.001650,-0.006325
1764067568490,-0.018012,0.007700,-0.003850
1764067568499,-0.004537,0.019938,-0.005087
1764067568509,-0.011825,-0.009350,-0.000137
1764067568518,-0.021588,-0.013062,-0.000137
1764067568528,-0.003300,0.011412,-0.007562
1764067568537,-0.021588,-0.036300,-0.008662
1764067568547,-0.000825,0.028462,0.023100
1764067568556,0.000412,0.013888,0.098725
1764067568566,-0.003300,-0.010588,-0.000137
1764067568575,-0.003300,-0.011825,0.015675
1764067568585,0.007700,0.011412,0.031625
1764067568594,0.011275,0.017462,0.046200
1764067568604,0.008938,-0.025300,-0.013612
1764067568613,0.018700,0.004125,-0.009900
1764067568623,0.021175,0.004125,-0.007562
1764067568632,0.005225,0.005362,-0.007562
1764067568642,0.005225,-0.003300,-0.005087
1764067568651,-0.008250,0.000412,-0.005087
1764067568661,-0.005775,0.004125,-0.002612
1764067568670,-0.007012,-0.000825,-0.006325
1764067568680,-0.007012,-0.006875,-0.008662
1764067568689,0.000412,-0.011825,-0.006325
1764067568699,0.006462,0.000412,-0.006325
1764067568708,-0.004537,0.000412,-0.006325
1764067568718,0.012512,0.010175,-0.005087
1764067568727,0.008938,0.018700,-0.009900
1764067568737,-0.007012,-0.014300,-0.012375
1764067568746,-0.007012,-0.013062,-0.007562
1764067568756,-0.009488,-0.008112,-0.011138
1764067568765,-0.009488,0.007700,0.015675
1764067568775,0.000412,-0.006875,0.030388
1764067568784,-0.002062,0.004125,-0.000137
1764067568794,0.006462,0.005362,-0.000137
1764067568803,0.001512,-0.002062,-0.000137
1764067568813,0.001512,-0.004537,-0.000137
1764067568823,-0.000825,-0.009350,-0.000137
1764067568832,-0.008250,-0.002062,-0.002612
1764067568842,-0.016775,0.004125,-0.002612
1764067568851,-0.018012,-0.003300,0.001100
1764067568861,-0.018012,-0.005637,-0.000137
1764067568870,-0.004537,-0.005637,0.001100
1764067568880,0.002750,0.001650,-0.000137
1764067568889,0.006462,-0.009350,0.003437
1764067568899,0.003987,-0.008112,0.002337
1764067568908,0.008938,0.005362,0.002337
1764067568918,0.005225,0.008938,0.003437
1764067568927,0.010175,0.019938,0.004675
1764067568937,-0.002062,-0.011825,0.003437
1764067568946,-0.003300,0.004125,0.003437
1764067568956,-0.003300,0.000412,0.003437
1764067568965,-0.015538,-0.003300,0.004675
1764067568975,-0.009488,0.007700,0.005912
1764067568984,-0.010588,-0.011825,0.004675
1764067568994,0.000412,0.010175,-0.001375
1764067569003,0.008938,-0.005637,0.001100
1764067569013,0.008938,0.006462,0.001100
1764067569022,0.008938,-0.008112,-0.002612
1764067569032,0.013750,-0.002062,-0.002612
1764067569041,0.001512,-0.002062,-0.000137
1764067569051,0.002750,0.007700,-0.000137
1764067569060,0.001512,0.008938,0.001100
1764067569070,-0.005775,-0.016638,0.001100
1764067569079,0.002750,0.012650,0.001100
1764067569089,-0.000825,-0.016638,-0.000137
1764067569098,-0.004537,-0.000825,-0.002612
1764067569108,0.000412,-0.000825,-0.002612
1764067569117,0.000412,-0.031350,-0.006325
1764067569127,0.006462,0.011412,-0.012375
1764067569136,-0.014300,-0.009350,-0.009900
1764067569146,-0.007012,-0.002062,0.001100
1764067569155,-0.015538,0.007700,-0.000137
1764067569165,-0.011825,-0.019112,0.005912
1764067569174,0.003987,0.022412,-0.000137
1764067569184,-0.003300,0.006462,0.001100
