timestamp,X,Y,Z
1764067566653,-0.034950,-0.109950,9.883051
1764067566662,-0.019950,-0.127050,9.931050
1764067566672,-0.034950,-0.112050,9.828000
1764067566681,-0.034950,-0.130950,9.865951
1764067566691,-0.027000,-0.142950,9.892051
1764067566701,-0.025050,-0.145950,9.864000
1764067566710,-0.031950,-0.118950,9.880051
1764067566720,-0.039000,-0.106950,9.876000
1764067566729,-0.015000,-0.103050,9.868051
1764067566739,-0.025050,-0.112050,9.895050
1764067566748,-0.019950,-0.105000,9.868051
1764067566758,-0.003000,-0.109950,9.885000
1764067566767,-0.043950,-0.138000,9.883051
1764067566777,-0.027000,-0.133950,9.864000
1764067566786,-0.013050,-0.138000,9.889951
1764067566796,-0.022950,-0.130950,9.880051
1764067566805,-0.025050,-0.112050,9.868051
1764067566815,-0.034950,-0.115050,9.885000
1764067566824,-0.034950,-0.106950,9.885000
1764067566834,-0.015000,-0.136050,9.919050
1764067566843,-0.030000,-0.121950,9.856050
1764067566853,-0.030000,-0.129000,9.904051
1764067566862,-0.027000,-0.127050,9.856050
1764067566872,-0.019950,-0.118950,9.883051
1764067566881,-0.027000,-0.130950,9.873000
1764067566891,-0.030000,-0.103050,9.871051
1764067566900,-0.030000,-0.115050,9.898951
1764067566910,-0.001050,-0.118950,9.897000
1764067566919,-0.043950,-0.100050,9.856050
1764067566929,-0.022950,-0.129000,9.856050
1764067566938,-0.025050,-0.133950,9.892051
1764067566948,-0.034950,-0.129000,9.871051
1764067566957,-0.030000,-0.117000,9.871051
1764067566967,-0.031950,-0.117000,9.889951
1764067566976,-0.037050,-0.129000,9.873000
1764067566986,-0.022950,-0.121950,9.880051
1764067566995,-0.025050,-0.148050,9.885000
1764067567005,-0.025050,-0.138000,9.873000
1764067567014,-0.019950,-0.145950,9.889951
1764067567024,-0.025050,-0.130950,9.865951
1764067567033,-0.034950,-0.129000,9.885000
1764067567043,-0.013050,-0.133950,9.877951
1764067567052,-0.039000,-0.127050,9.876000
1764067567062,-0.027000,-0.115050,9.880051
1764067567071,-0.031950,-0.127050,9.876000
1764067567081,-0.034950,-0.150000,9.895050
1764067567090,-0.034950,-0.141000,9.877951
1764067567100,-0.042000,-0.112050,9.877951
1764067567109,-0.030000,-0.129000,9.895050
1764067567119,-0.013050,-0.130950,9.868051
1764067567128,-0.018000,-0.136050,9.889951
1764067567138,-0.031950,-0.129000,9.865951
1764067567147,-0.034950,-0.130950,9.880051
1764067567157,-0.030000,-0.138000,9.886950
1764067567166,-0.010950,-0.150000,9.876000
1764067567176,-0.037050,-0.148050,9.885000
1764067567185,-0.034950,-0.136050,9.868051
1764067567195,-0.019950,-0.115050,9.889951
1764067567204,-0.030000,-0.118950,9.877951
1764067567214,-0.031950,-0.112050,9.883051
1764067567224,-0.007950,-0.130950,9.883051
1764067567233,-0.027000,-0.142950,9.864000
1764067567243,-0.034950,-0.145950,9.886950
1764067567252,-0.034950,-0.162000,9.873000
1764067567262,-0.037050,-0.154950,9.880051
1764067567271,-0.015000,-0.127050,9.877951
1764067567281,-0.022950,-0.100050,9.873000
1764067567290,-0.027000,-0.091050,9.892051
1764067567300,-0.010950,-0.100050,9.876000
1764067567309,-0.030000,-0.105000,9.883051
1764067567319,-0.022950,-0.115050,9.877951
1764067567328,-0.025050,-0.129000,9.873000
1764067567338,-0.025050,-0.142950,9.886950
1764067567347,-0.019950,-0.145950,9.873000
1764067567357,-0.010950,-0.138000,9.886950
1764067567366,-0.019950,-0.136050,9.892051
1764067567376,-0.019950,-0.136050,9.886950
1764067567385,-0.027000,-0.117000,9.885000
1764067567395,-0.037050,-0.129000,9.886950
1764067567404,-0.018000,-0.150000,9.880051
1764067567414,-0.030000,-0.136050,9.897000
1764067567423,-0.034950,-0.121950,9.861000
1764067567433,-0.022950,-0.145950,9.883051
1764067567442,-0.031950,-0.145950,9.889951
1764067567452,-0.013050,-0.130950,9.877951
1764067567461,-0.030000,-0.115050,9.880051
1764067567471,-0.037050,-0.115050,9.876000
1764067567480,-0.010950,-0.103050,9.885000
1764067567490,-0.039000,-0.121950,9.871051
1764067567499,-0.034950,-0.148050,9.880051
1764067567509,-0.025050,-0.142950,9.880051
1764067567518,-0.031950,-0.153000,9.895050
1764067567528,-0.019950,-0.154950,9.892051
1764067567537,-0.018000,-0.136050,9.892051
1764067567547,-0.037050,-0.129000,9.886950
1764067567556,-0.030000,-0.118950,9.876000
1764067567566,-0.030000,-0.100050,9.895050
1764067567575,-0.030000,-0.124050,9.880051
1764067567585,-0.031950,-0.133950,9.897000
1764067567594,-0.015000,-0.153000,9.871051
1764067567604,-0.025050,-0.150000,9.892051
1764067567613,-0.003000,-0.165000,9.861000
1764067567623,-0.022950,-0.150000,9.892051
1764067567632,-0.030000,-0.127050,9.859051
1764067567642,-0.031950,-0.112050,9.877951
1764067567651,-0.022950,-0.109950,9.889951
1764067567661,-0.043950,-0.081000,9.673950
1764067567670,0.003000,-0.148050,10.147950
1764067567680,-0.025050,-0.130950,9.859051
